Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,raw_string
1711562704.1725504,1853,1711562704,170368194,imu1_frame,0,0,0,,-0.04030486198734562,-0.00901381213949542,-0.7682892464118244,0.6387690530534851,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.335545184739416e-06,6.761405522226032e-05,1.3404128655316451e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.815,0.272,-9.7,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.698e-05,-6e-06,-2.8089999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.1975503,1854,1711562704,194195747,imu1_frame,0,0,0,,-0.040301494392655464,-0.008976947512148855,-0.7682899046893114,0.6387689929196405,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00010135126966331071,4.9567350756638966e-06,2.303834612632515e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.686,0.346,-9.557,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.697e-05,-6.2300000000000005e-06,-2.929e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.2241943,1855,1711562704,220371007,imu1_frame,0,0,0,,-0.04030037186039297,-0.008964659295380173,-0.7682901236862008,0.6387689729142093,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.909979492823803e-05,3.47495054072071e-05,2.338741197672402e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.668,0.625,-9.586,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.731e-05,-5.88e-06,-2.847e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.247555,1856,1711562704,245463848,imu1_frame,0,0,0,,-0.040246756906350614,-0.008988487230831102,-0.7682845014658968,0.6387787805360482,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.0019663134302466e-05,3.8135444156076095e-05,-1.2112585008840646e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.783,0.18,-9.689,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.696e-05,-6.7e-06,-2.7950000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.273334,1857,1711562704,271099090,imu1_frame,0,0,0,,-0.04028794421173407,-0.008966483428155276,-0.7682790373525732,0.6387830652817342,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00012114330338092642,-4.752531553180559e-05,1.977458042509575e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.735,0.415,-9.552,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.714e-05,-9.07e-06,-2.8310000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.2980812,1858,1711562704,296133518,imu1_frame,0,0,0,,-0.04029247440578368,-0.008947139068507798,-0.7682849086475326,0.6387759891802451,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000114196892957989,-6.370451769779302e-06,9.616764178488754e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.626,0.585,-9.624,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.674e-05,-6.9400000000000005e-06,-2.822e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.3221018,1859,1711562704,319440364,imu1_frame,0,0,0,,-0.040264602506952234,-0.008980661813103329,-0.7682845175235912,0.6387777466630303,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.515314097694833e-05,4.532620067429274e-05,2.3422318561763906e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.73,0.189,-9.764,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.697e-05,-6.2300000000000005e-06,-2.7689999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.3456874,1860,1711562704,343739509,imu1_frame,0,0,0,,-0.040260112804749705,-0.008931508883939565,-0.7682853922250269,0.6387776667664904,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0001188394687682939,1.1606439525762293e-05,3.331833542057175e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.732,0.446,-9.612,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.7080000000000004e-05,-6.35e-06,-2.888e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.3721116,1861,1711562704,368368387,imu1_frame,0,0,0,,-0.040272461929315474,-0.008930036571524455,-0.7682909042045873,0.6387702793442103,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00014163346879933985,9.320058205649719e-06,-1.937315469713706e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.653,0.626,-9.626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.692e-05,-8.599999999999999e-06,-3.02e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.3979828,1862,1711562704,393720388,imu1_frame,0,0,0,,-0.040270098578768884,-0.00897430868879687,-0.7682790214517745,0.6387840997873366,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.201081170943102e-05,-0.0001713389726682833,-1.4817845349431857e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.719,0.154,-9.723,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.65e-05,-7.52e-06,-2.7700000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
